"",Label,X203.130173805984...820.908935546875,X344.090501591756...1063.88049316406,X136.039010425399...113.691162109375,X153.063788635274...162.899993896484,X166.049917801498...128.399993896484,X269.148033648836...154.199996948242,X269.147793493768...149.767303466797,X295.228993697699...1598.64379882812,X245.179551581852...159.300003051758,X151.061409775449...177.599990844727,X305.109811519605...542.831359863281
"75",12,759.6886,193.9084807,758.703,825.8174224,1174.342226,417.130644,751.8554539,603.2329896,124.8987117,674.5951529,303.3015226
"76",26,220.2984719,1657.302356,718.3750636,680.0308709,985.1233862,1895.344118,1769.718253,901.7949193,1065.409501,1237.092165,39783.08246
"77",8,1957.314925,152.4493747,1137.175295,895.9076102,1450.113068,426.6869136,668.7646001,1063.686875,317.5438228,38.40944848,3094.715312
"78",19,726.1737548,41.15433717,1299.378557,652.4959673,876.8146265,46.46372071,52.55580239,448.1919876,79.56867733,1827.600781,444.2726528
"79",9,2137.4937,238.4857324,1771.496514,1248.823124,1706.66049,266.9772149,23.41313828,572.4704714,377.6154257,423.2331316,30280.3128
"80",20,402.0197849,979.4726818,1244.892799,1111.78069,861.9198658,1505.436381,2039.828323,522.4592712,3958.545758,1061.885237,989.431866
"81",20,627.4849677,1132.649308,836.6137768,1008.434594,1195.501537,445.386515,1349.347307,568.0183075,1554.351561,427.1212032,986.8391851
"82",14,783.7923566,263.8023305,1043.189907,551.527028,1242.191525,571.7979541,727.3769713,533.1125847,493.7064595,661.8937241,1929.922971
"83",13,1829.899302,514.0300791,1126.651437,1344.209682,1405.103538,417.7635099,600.2452948,439.2988019,226.8254304,1076.271756,1031.890826
"84",9,2056.713427,432.7374109,1275.592731,1325.366146,1364.126585,19.38993845,20.42722835,1802.127995,641.6278536,868.9286611,4200.000398
"85",20,895.4222643,1090.436855,809.6466427,753.721908,1155.166128,916.1674538,1352.400352,1201.84774,1613.099279,1323.111983,199.4397757
"86",1,504.7469823,389.6056699,683.6230235,844.0446454,563.3766332,1172.156005,1453.817384,1569.44805,4651.57115,2432.690745,758.0638431
"87",2,609.8387929,2285.217523,1189.94263,955.6934314,1032.767484,1058.273004,1097.662624,3036.589668,2568.94461,1178.821515,553.9993769
"88",14,930.8695604,370.4449408,877.0354509,828.9359513,1002.972024,699.6415227,992.0847201,652.7196401,741.0288477,720.7838342,3418.883076
"89",8,1521.9129,151.025597,992.565035,983.555343,1219.334919,329.1731605,578.8229803,1234.769166,37.98764676,1356.385527,1131.342523
"90",7,1588.934925,371.9449005,996.8547005,935.3064152,1189.009286,349.4353634,328.3262413,1355.297431,238.5930278,763.0474162,2296.880381
"91",23,190.9561557,2997.931325,605.6590556,612.2007663,790.1604177,697.0954702,1102.078219,489.2830233,116.0503875,2112.716268,1873.450244
"92",16,2119.572096,99.90184548,1429.638247,1111.361867,1036.945145,564.3158806,764.0935557,559.7918046,343.7792013,393.9431138,1384.512899
"93",9,2222.83173,451.6799579,1316.393928,1439.569668,1044.263131,569.5563843,281.5572923,560.1461998,67.15101962,596.808146,185.4967913
